GO_term1	GO_term2	similarity
GO:0005737	GO:0005737	0.743
GO:0099738	GO:0099738	0.788
GO:0000145	GO:0000145	0.746
GO:0005938	GO:0005938	0.743
GO:0005829	GO:0005829	0.841
GO:0048471	GO:0048471	0.841
GO:0071254	GO:0071254	0.692
GO:0034719	GO:0034719	0.692
GO:0034715	GO:0034715	0.692
GO:0030877	GO:0030877	0.749
GO:0017109	GO:0017109	0.692
GO:0042587	GO:0042587	0.841
GO:0000407	GO:0000407	0.841
GO:0071513	GO:0071513	0.692
GO:0036457	GO:0036457	0.841
GO:0016528	GO:0016528	0.831
GO:1990723	GO:1990723	0.728
GO:0005854	GO:0005854	0.749
GO:0070937	GO:0070937	0.749
GO:0043614	GO:0043614	0.692
GO:0005852	GO:0005852	0.749
GO:0016281	GO:0016281	0.749
GO:0031680	GO:0031680	0.749
GO:1990728	GO:1990728	0.749
GO:0031209	GO:0031209	0.749
GO:0032449	GO:0032449	0.749
GO:1990565	GO:1990565	0.692
GO:0120099	GO:0120099	0.749
GO:0120098	GO:0120098	0.841
GO:0005850	GO:0005850	0.749
GO:0044207	GO:0044207	0.692
GO:0018444	GO:0018444	0.749
GO:1990730	GO:1990730	0.749
GO:0055087	GO:0055087	0.749
GO:0071142	GO:0071142	0.692
GO:0090651	GO:0090651	0.756
GO:0009328	GO:0009328	0.692
GO:0031251	GO:0031251	0.749
GO:0097433	GO:0097433	0.841
GO:0005851	GO:0005851	0.749
GO:0048500	GO:0048500	0.692
GO:0070826	GO:0070826	0.749
GO:0005853	GO:0005853	0.749
GO:0071203	GO:0071203	0.749
GO:0062073	GO:0062073	0.749
GO:0034750	GO:0034750	0.749
GO:0071818	GO:0071818	0.701
GO:0005971	GO:0005971	0.694
GO:0005833	GO:0005833	0.776
GO:0043293	GO:0043293	0.776
GO:1990229	GO:1990229	0.776
GO:0000015	GO:0000015	0.724
GO:0072559	GO:0072559	0.701
GO:0097342	GO:0097342	0.724
GO:0097361	GO:0097361	0.776
GO:0106002	GO:0106002	0.776
GO:0031083	GO:0031083	0.701
GO:0099078	GO:0099078	0.776
GO:0005832	GO:0005832	0.724
GO:0033596	GO:0033596	0.776
GO:0097169	GO:0097169	0.701
GO:0002144	GO:0002144	0.776
GO:0008074	GO:0008074	0.776
GO:0072558	GO:0072558	0.701
GO:1990221	GO:1990221	0.776
GO:0061702	GO:0061702	0.776
GO:0072557	GO:0072557	0.701
GO:1990788	GO:1990788	0.776
GO:0072380	GO:0072380	0.701
GO:0031084	GO:0031084	0.701
GO:0005770	GO:0005770	0.788
GO:0055037	GO:0055037	0.788
GO:0031410	GO:0031410	0.77
GO:0033263	GO:0033263	0.703
GO:0005768	GO:0005768	0.9
GO:0031905	GO:0031905	0.713
GO:0097443	GO:0097443	0.788
GO:0031901	GO:0031901	0.748
GO:0030133	GO:0030133	0.731
GO:0097487	GO:0097487	0.706
GO:0005771	GO:0005771	0.701
GO:0097422	GO:0097422	0.801
GO:0044354	GO:0044354	0.701
GO:0098842	GO:0098842	0.747
GO:0005634	GO:0005634	0.871
GO:0005794	GO:0005794	0.753
GO:0005739	GO:0005739	0.811
GO:0005777	GO:0005777	0.742
GO:0005801	GO:0005801	0.721
GO:0005773	GO:0005773	0.811
GO:0005783	GO:0005783	0.753
GO:0005776	GO:0005776	0.742
GO:0005791	GO:0005791	0.702
GO:0005793	GO:0005793	0.811
GO:0001673	GO:0001673	0.708
GO:0042405	GO:0042405	0.729
GO:0043073	GO:0043073	0.776
GO:0070971	GO:0070971	0.721
GO:0005790	GO:0005790	0.702
GO:0001674	GO:0001674	0.708
GO:0045120	GO:0045120	0.776
GO:0001939	GO:0001939	0.708
GO:0001940	GO:0001940	0.708
GO:0044322	GO:0044322	0.721
GO:0031094	GO:0031094	0.871
GO:0000322	GO:0000322	0.742
GO:1990462	GO:1990462	0.808
GO:0016363	GO:0016363	0.773
GO:0016604	GO:0016604	0.916
GO:0016605	GO:0016605	0.848
GO:0005730	GO:0005730	0.762
GO:0016607	GO:0016607	0.848
GO:0015030	GO:0015030	0.848
GO:0031261	GO:0031261	0.79
GO:0005656	GO:0005656	0.763
GO:0035098	GO:0035098	0.693
GO:0001650	GO:0001650	0.729
GO:0000228	GO:0000228	0.734
GO:0000118	GO:0000118	0.79
GO:0035097	GO:0035097	0.751
GO:0071339	GO:0071339	0.711
GO:0044666	GO:0044666	0.729
GO:0048188	GO:0048188	0.729
GO:0000123	GO:0000123	0.71
GO:0044665	GO:0044665	0.729
GO:0042382	GO:0042382	0.848
GO:0070449	GO:0070449	0.789
GO:0031981	GO:0031981	0.92
GO:0008023	GO:0008023	0.832
GO:0001652	GO:0001652	0.729
GO:0001651	GO:0001651	0.729
GO:0032783	GO:0032783	0.789
GO:0005652	GO:0005652	0.773
GO:1902562	GO:1902562	0.697
GO:0034399	GO:0034399	0.839
GO:0097504	GO:0097504	0.848
GO:0035363	GO:0035363	0.848
GO:0032021	GO:0032021	0.789
GO:0035061	GO:0035061	0.848
GO:0035101	GO:0035101	0.697
GO:0032044	GO:0032044	0.789
GO:0097356	GO:0097356	0.839
GO:0070461	GO:0070461	0.697
GO:0043231	GO:0043231	0.871
GO:0005654	GO:0005654	0.697
GO:0005635	GO:0005635	0.721
GO:0032039	GO:0032039	0.729
GO:0031499	GO:0031499	0.729
GO:0071664	GO:0071664	0.729
GO:0070531	GO:0070531	0.729
GO:0070532	GO:0070532	0.729
GO:0070533	GO:0070533	0.729
GO:0016592	GO:0016592	0.729
GO:0030870	GO:0030870	0.729
GO:0030895	GO:0030895	0.729
GO:0071819	GO:0071819	0.729
GO:0005677	GO:0005677	0.729
GO:0031519	GO:0031519	0.729
GO:0035145	GO:0035145	0.729
GO:0070390	GO:0070390	0.729
GO:0008180	GO:0008180	0.729
GO:0070552	GO:0070552	0.729
GO:0071821	GO:0071821	0.729
GO:0043240	GO:0043240	0.729
GO:0042585	GO:0042585	0.698
GO:0033597	GO:0033597	0.729
GO:0097165	GO:0097165	0.693
GO:0031523	GO:0031523	0.729
GO:1990713	GO:1990713	0.729
GO:0071159	GO:0071159	0.729
GO:0070310	GO:0070310	0.729
GO:0070516	GO:0070516	0.729
GO:0005849	GO:0005849	0.729
GO:0043564	GO:0043564	0.729
GO:0000346	GO:0000346	0.729
GO:0070421	GO:0070421	0.729
GO:0089701	GO:0089701	0.729
GO:0070557	GO:0070557	0.729
GO:0042272	GO:0042272	0.729
GO:0070876	GO:0070876	0.729
GO:0032545	GO:0032545	0.729
GO:0016324	GO:0016324	0.692
GO:0009925	GO:0009925	0.692
GO:0005905	GO:0005905	0.692
GO:0009897	GO:0009897	0.705
GO:0042383	GO:0042383	0.846
GO:0098797	GO:0098797	0.719
GO:0009898	GO:0009898	0.715
GO:0001772	GO:0001772	0.859
GO:0016328	GO:0016328	0.859
GO:0030315	GO:0030315	0.767
GO:0016327	GO:0016327	0.751
GO:0001533	GO:0001533	0.846
GO:0031256	GO:0031256	0.782
GO:0019897	GO:0019897	0.772
GO:0044298	GO:0044298	0.782
GO:0032154	GO:0032154	0.692
GO:1990075	GO:1990075	0.751
GO:0060342	GO:0060342	0.692
GO:0001891	GO:0001891	0.859
GO:0097524	GO:0097524	0.846
GO:0097197	GO:0097197	0.859
GO:0031258	GO:0031258	0.754
GO:0031253	GO:0031253	0.753
GO:0032589	GO:0032589	0.754
GO:0005615	GO:0005615	0.803
GO:0072562	GO:0072562	0.695
GO:0045171	GO:0045171	0.803
GO:0043083	GO:0043083	0.788
GO:0098595	GO:0098595	0.788
GO:0032311	GO:0032311	0.695
GO:0036117	GO:0036117	0.803
GO:0099544	GO:0099544	0.788
GO:0070701	GO:0070701	0.803
GO:0005576	GO:0005576	0.803
GO:0043514	GO:0043514	0.749
GO:0070743	GO:0070743	0.749
GO:0005577	GO:0005577	0.749
GO:0110157	GO:0110157	0.749
GO:0072563	GO:0072563	0.728
GO:0016942	GO:0016942	0.692
GO:0005602	GO:0005602	0.749
GO:0062167	GO:0062167	0.749
GO:0034774	GO:0034774	0.708
GO:1904724	GO:1904724	0.718
GO:0030141	GO:0030141	0.742
GO:0005641	GO:0005641	0.789
GO:0031965	GO:0031965	0.839
GO:0005643	GO:0005643	0.838
GO:0005637	GO:0005637	0.763
GO:0034993	GO:0034993	0.699
GO:0044615	GO:0044615	0.78
GO:0044614	GO:0044614	0.78
GO:0031080	GO:0031080	0.78
GO:0044611	GO:0044611	0.78
GO:1990876	GO:1990876	0.807
GO:0044613	GO:0044613	0.78
GO:0005640	GO:0005640	0.792
GO:1904813	GO:1904813	0.708
GO:0035578	GO:0035578	0.72
GO:0035580	GO:0035580	0.879
GO:0031093	GO:0031093	0.879
GO:0060205	GO:0060205	0.803
GO:0099013	GO:0099013	0.79
GO:0034466	GO:0034466	0.879
GO:0031089	GO:0031089	0.879
GO:1904856	GO:1904856	0.722
GO:0042582	GO:0042582	0.743
GO:0044853	GO:0044853	0.891
GO:0016600	GO:0016600	0.762
GO:0002095	GO:0002095	0.762
GO:0099400	GO:0099400	0.902
GO:0005856	GO:0005856	0.737
GO:0015630	GO:0015630	0.79
GO:0005819	GO:0005819	0.716
GO:0005814	GO:0005814	0.802
GO:0000930	GO:0000930	0.71
GO:0034451	GO:0034451	0.886
GO:0005815	GO:0005815	0.887
GO:0043232	GO:0043232	0.707
GO:0000242	GO:0000242	0.886
GO:0031021	GO:0031021	0.763
GO:0002177	GO:0002177	0.695
GO:0031616	GO:0031616	0.786
GO:0031592	GO:0031592	0.886
GO:1902636	GO:1902636	0.733
GO:0035253	GO:0035253	0.746
GO:0097546	GO:0097546	0.874
GO:0036126	GO:0036126	0.695
GO:0031514	GO:0031514	0.864
GO:0097543	GO:0097543	0.874
GO:0097729	GO:0097729	0.765
GO:0097730	GO:0097730	0.864
GO:0097731	GO:0097731	0.765
GO:0097542	GO:0097542	0.874
GO:0036038	GO:0036038	0.718
GO:0097539	GO:0097539	0.795
GO:0120103	GO:0120103	0.795
GO:0035869	GO:0035869	0.874
GO:0097728	GO:0097728	0.765
GO:0097014	GO:0097014	0.695
GO:0034464	GO:0034464	0.795
GO:0005813	GO:0005813	0.737
GO:0072686	GO:0072686	0.751
GO:0000785	GO:0000785	0.691
GO:0045111	GO:0045111	0.874
GO:0005694	GO:0005694	0.756
GO:0000922	GO:0000922	0.771
GO:0005840	GO:0005840	0.756
GO:0005657	GO:0005657	0.691
GO:0005811	GO:0005811	0.756
GO:0090734	GO:0090734	0.691
GO:0015629	GO:0015629	0.874
GO:0002102	GO:0002102	0.819
GO:0097427	GO:0097427	0.886
GO:0098687	GO:0098687	0.691
GO:0072687	GO:0072687	0.751
GO:0035770	GO:0035770	0.705
GO:0051233	GO:0051233	0.771
GO:0014731	GO:0014731	0.874
GO:0030863	GO:0030863	0.727
GO:0033011	GO:0033011	0.771
GO:0005875	GO:0005875	0.73
GO:0005885	GO:0005885	0.73
GO:0010369	GO:0010369	0.756
GO:0008290	GO:0008290	0.73
GO:0042641	GO:0042641	0.805
GO:0016459	GO:0016459	0.73
GO:0061826	GO:0061826	0.771
GO:0060053	GO:0060053	0.782
GO:0120293	GO:0120293	0.705
GO:0071817	GO:0071817	0.706
GO:0032156	GO:0032156	0.874
GO:1905720	GO:1905720	0.742
GO:0098536	GO:0098536	0.756
GO:0034515	GO:0034515	0.705
GO:0045298	GO:0045298	0.811
GO:0032432	GO:0032432	0.805
GO:0005759	GO:0005759	0.725
GO:0005796	GO:0005796	0.767
GO:0033018	GO:0033018	0.85
GO:0048237	GO:0048237	0.88
GO:0099020	GO:0099020	0.854
GO:0014804	GO:0014804	0.732
GO:0030055	GO:0030055	0.825
GO:0005797	GO:0005797	0.727
GO:0000139	GO:0000139	0.708
GO:0005802	GO:0005802	0.805
GO:0000138	GO:0000138	0.727
GO:0097038	GO:0097038	0.718
GO:0016529	GO:0016529	0.704
GO:0005795	GO:0005795	0.805
GO:0033106	GO:0033106	0.735
GO:0031985	GO:0031985	0.757
GO:0150051	GO:0150051	0.798
GO:0000137	GO:0000137	0.727
GO:0017119	GO:0017119	0.818
GO:0000938	GO:0000938	0.726
GO:1990072	GO:1990072	0.764
GO:0005769	GO:0005769	0.788
GO:0031902	GO:0031902	0.748
GO:0097489	GO:0097489	0.695
GO:0031906	GO:0031906	0.713
GO:0005874	GO:0005874	0.703
GO:0005871	GO:0005871	0.733
GO:0097431	GO:0097431	0.693
GO:0005869	GO:0005869	0.695
GO:0032133	GO:0032133	0.733
GO:1990023	GO:1990023	0.693
GO:0030981	GO:0030981	0.7
GO:1990385	GO:1990385	0.693
GO:0070652	GO:0070652	0.733
GO:1990752	GO:1990752	0.697
GO:0005740	GO:0005740	0.804
GO:0099128	GO:0099128	0.778
GO:1990498	GO:1990498	0.723
GO:0097149	GO:0097149	0.831
GO:0098978	GO:0098978	0.812
GO:0098982	GO:0098982	0.812
GO:0060077	GO:0060077	0.812
GO:0048786	GO:0048786	0.728
GO:0098793	GO:0098793	0.831
GO:0031594	GO:0031594	0.812
GO:0098794	GO:0098794	0.831
GO:0098685	GO:0098685	0.812
GO:0030054	GO:0030054	0.788
GO:0060076	GO:0060076	0.812
GO:0098691	GO:0098691	0.812
GO:0098981	GO:0098981	0.812
GO:0098690	GO:0098690	0.812
GO:0099154	GO:0099154	0.812
GO:0140240	GO:0140240	0.812
GO:0097470	GO:0097470	0.812
GO:0098843	GO:0098843	0.728
GO:0098984	GO:0098984	0.812
GO:0099192	GO:0099192	0.812
GO:0045202	GO:0045202	0.812
GO:0005604	GO:0005604	0.841
GO:0031012	GO:0031012	0.837
GO:0033165	GO:0033165	0.841
GO:0005614	GO:0005614	0.841
GO:0090658	GO:0090658	0.765
GO:0120216	GO:0120216	0.768
GO:0098965	GO:0098965	0.757
GO:0098966	GO:0098966	0.757
GO:1903561	GO:1903561	0.827
GO:1990742	GO:1990742	0.716
GO:0070820	GO:0070820	0.794
GO:0035861	GO:0035861	0.697
GO:0000781	GO:0000781	0.697
GO:0000808	GO:0000808	0.717
GO:0000791	GO:0000791	0.888
GO:0000792	GO:0000792	0.888
GO:0000786	GO:0000786	0.732
GO:0000775	GO:0000775	0.697
GO:0005721	GO:0005721	0.706
GO:0000793	GO:0000793	0.765
GO:0099115	GO:0099115	0.706
GO:0001739	GO:0001739	0.756
GO:0031390	GO:0031390	0.717
GO:0033553	GO:0033553	0.803
GO:0031422	GO:0031422	0.717
GO:0035985	GO:0035985	0.803
GO:0000803	GO:0000803	0.765
GO:0005882	GO:0005882	0.703
GO:0099160	GO:0099160	0.712
GO:0032991	GO:0032991	0.743
GO:0017053	GO:0017053	0.788
GO:0019185	GO:0019185	0.788
GO:0098556	GO:0098556	0.74
GO:0000836	GO:0000836	0.732
GO:0098554	GO:0098554	0.859
GO:0043541	GO:0043541	0.829
GO:0030868	GO:0030868	0.85
GO:0033017	GO:0033017	0.825
GO:0009923	GO:0009923	0.775
GO:0098553	GO:0098553	0.859
GO:0000506	GO:0000506	0.775
GO:0014701	GO:0014701	0.797
GO:0030867	GO:0030867	0.85
GO:0034098	GO:0034098	0.829
GO:0042824	GO:0042824	0.696
GO:0061779	GO:0061779	0.692
GO:0005784	GO:0005784	0.732
GO:0042825	GO:0042825	0.692
GO:1990604	GO:1990604	0.829
GO:1990332	GO:1990332	0.705
GO:0017059	GO:0017059	0.74
GO:0071782	GO:0071782	0.705
GO:0036513	GO:0036513	0.829
GO:0000835	GO:0000835	0.74
GO:0000839	GO:0000839	0.725
GO:0031205	GO:0031205	0.741
GO:0008250	GO:0008250	0.775
GO:0032937	GO:0032937	0.696
GO:0005787	GO:0005787	0.775
GO:1990629	GO:1990629	0.727
GO:0005785	GO:0005785	0.741
GO:0031502	GO:0031502	0.74
GO:0098826	GO:0098826	0.701
GO:0036502	GO:0036502	0.829
GO:0030424	GO:0030424	0.825
GO:0030425	GO:0030425	0.691
GO:0150034	GO:0150034	0.748
GO:0044304	GO:0044304	0.748
GO:0044306	GO:0044306	0.846
GO:1990032	GO:1990032	0.709
GO:0061845	GO:0061845	0.846
GO:0044300	GO:0044300	0.709
GO:0070852	GO:0070852	0.825
GO:1990769	GO:1990769	0.825
GO:0044309	GO:0044309	0.825
GO:1990031	GO:1990031	0.748
GO:0097447	GO:0097447	0.751
GO:1990030	GO:1990030	0.748
GO:0097462	GO:0097462	0.825
GO:0044302	GO:0044302	0.709
GO:0032391	GO:0032391	0.758
GO:0097733	GO:0097733	0.899
GO:0120200	GO:0120200	0.898
GO:0097381	GO:0097381	0.839
GO:0042622	GO:0042622	0.692
GO:0120199	GO:0120199	0.898
GO:0120206	GO:0120206	0.71
GO:0034704	GO:0034704	0.879
GO:0034702	GO:0034702	0.888
GO:0005891	GO:0005891	0.698
GO:0034705	GO:0034705	0.879
GO:0034707	GO:0034707	0.766
GO:1904602	GO:1904602	0.692
GO:1902495	GO:1902495	0.822
GO:0034706	GO:0034706	0.879
GO:0017071	GO:0017071	0.879
GO:1990662	GO:1990662	0.698
GO:0090533	GO:0090533	0.698
GO:0098552	GO:0098552	0.803
GO:0019898	GO:0019898	0.803
GO:0019867	GO:0019867	0.788
GO:0098796	GO:0098796	0.695
GO:0005911	GO:0005911	0.709
GO:0005782	GO:0005782	0.725
GO:0005778	GO:0005778	0.735
GO:0034709	GO:0034709	0.711
GO:0005965	GO:0005965	0.781
GO:0005968	GO:0005968	0.781
GO:0034274	GO:0034274	0.781
GO:0005788	GO:0005788	0.725
GO:0005761	GO:0005761	0.811
GO:0016507	GO:0016507	0.803
GO:0042645	GO:0042645	0.811
GO:0005758	GO:0005758	0.702
GO:0017087	GO:0017087	0.843
GO:0045244	GO:0045244	0.714
GO:0009841	GO:0009841	0.803
GO:0000262	GO:0000262	0.723
GO:0005760	GO:0005760	0.725
GO:0031966	GO:0031966	0.877
GO:0005741	GO:0005741	0.706
GO:0030061	GO:0030061	0.927
